make,model,year,miles,exterior-color,interior-color,accidents-reported,num-of-owners,price
Toyota,Camry,2021,64905,Gray,Unknown,0,1,21681
Mazda,Mazda3,2021,40810,Gray,Red,0,1,23998
Ford,Escape,2020,59773,Black,Black,2,1,15994
Lexus,UX,2021,30621,Silver,Black,0,1,30333
Toyota,Corolla,2021,41229,White,Black,0,1,18500
Chevrolet,Equinox,2023,3306,Blue,Black,0,1,25000
Mercedes-Benz,GLB,2021,18407,Blue,Beige,0,1,30990
BMW,3 Series,2020,83353,Red,Beige,0,2,19999
Acura,MDX,2017,100531,White,Brown,0,2,20998
Toyota,Sienna,2016,91789,Gray,Gray,2,3,19998
Toyota,Venza,2021,14150,Blue,Black,0,1,32000
Mercedes-Benz,C-Class,2018,59696,White,Black,2,2,21998
BMW,5 Series,2023,9109,Gray,Black,0,1,45498
Subaru,Forester,2017,99241,Black,Black,0,1,14948
Honda,Civic,2020,36732,Gray,Unknown,0,2,21721
Land,Rover Range Rover Sport,2009,112045,Black,Black,5,5,9995
Hyundai,Sonata,2016,37285,Gray,Gray,1,1,15987
Chevrolet,Spark,2022,36292,Gray,Black,0,1,13650
Mercedes-Benz,C-Class,2015,78923,Black,Black,0,4,16999
Subaru,Crosstrek,2021,7485,Gray,Black,0,1,26300
Subaru,Outback,2020,69006,White,Brown,0,2,24323
Ford,F-150,2019,112327,White,Gray,0,1,19998
Jaguar,F-PACE,2019,47051,Black,Unknown,0,1,29013
Nissan,Versa,2016,69957,White,Black,0,2,9988
Ford,Mustang,2016,96178,White,Black,3,4,23495
Lexus,UX,2020,18708,Silver,Black,0,1,26991
Ford,Fusion,2020,43662,Silver,Unknown,1,1,19888
Ford,Fusion,2018,86182,White,Black,1,2,13995
Nissan,Rogue,2023,12912,White,Black,0,1,23988
Kia,Sportage,2021,19216,White,Black,0,1,20995
Honda,Civic,2020,20202,White,Beige,0,1,18995
BMW,X5,2021,40745,White,Black,0,2,45999
Mercedes-Benz,E-Class,2020,23564,Black,Black,0,1,38495
Toyota,RAV4,2021,30956,Silver,Black,0,1,27555
Subaru,Ascent,2022,17828,Gray,Gray,0,1,34888
Mercedes-Benz,E-Class,2020,28678,White,Black,0,1,36595
Mercedes-Benz,GLE,2021,27856,Black,Black,0,1,41997
Chevrolet,Malibu,2021,33251,Silver,Black,0,1,19250
Mercedes-Benz,C-Class,2021,28708,Gray,Black,0,2,31154
Mercedes-Benz,GLC,2022,5029,Black,Beige,0,1,38235
Kia,Forte,2017,53043,White,Black,1,2,12991
Mercedes-Benz,C-Class,2016,81289,Black,Black,4,3,16999
Mercedes-Benz,CLA,2023,6742,Gray,Black,0,2,37776
Toyota,Corolla,2021,49191,Unknown,Unknown,0,1,18994
BMW,X3,2021,20614,White,Beige,0,1,31999
Toyota,Camry,2014,89428,Gray,Black,1,3,15998
Subaru,Forester,2021,32390,Blue,Gray,1,1,23749
Hyundai,Tucson,2017,114309,Black,Black,1,1,13998
Ford,Transit Cargo Van,2021,57953,White,Gray,0,1,38995
Volvo,XC90,2021,29141,Silver,Black,0,1,38993
Mercedes-Benz,C-Class,2019,49842,Black,Black,0,2,25163
Jeep,Gladiator,2020,28908,Gray,Black,0,1,30991
Mercedes-Benz,C-Class,2021,15387,Black,Black,0,1,33009
Subaru,Forester,2021,8879,Green,Gray,0,1,26065
BMW,X1,2021,37595,Black,Black,0,1,23997
Mercedes-Benz,C-Class,2023,7663,Gray,Black,0,1,39777
Ford,F-150,2020,73920,Gray,Gray,0,1,27998
Mercedes-Benz,GLE,2021,23303,Silver,Beige,0,1,42991
Subaru,Outback,2023,5688,Silver,Gray,0,1,34600
Subaru,Forester,2020,30962,Black,Gray,0,1,24998
Hyundai,Elantra,2012,135320,Red,Black,0,3,6500
Mercedes-Benz,GLA,2020,72921,Black,Black,1,1,19495
Buick,Enclave,2023,10581,White,Black,0,1,47000
Toyota,Prius,2022,28082,Black,Black,1,1,22500
Toyota,Tacoma,2019,27160,Gray,Black,2,1,33998
Subaru,Outback,2020,49318,Silver,Gray,2,1,23998
Volkswagen,Taos,2022,35570,White,Black,1,1,23998
Kia,Optima,2020,41053,White,Black,0,2,22998
Toyota,RAV4,2021,62673,Black,Gray,0,1,23993
BMW,X3,2020,61144,Black,Black,0,1,22100
Lexus,UX,2022,12642,Red,Black,0,1,29333
Audi,A3,2023,615,Black,Black,0,1,34995
BMW,X3,2021,25621,Black,Black,0,1,29498
Toyota,Corolla,2021,63421,Silver,Black,0,1,18693
Toyota,Prius,2012,187405,White,Unknown,0,3,10995
Mercedes-Benz,C-Class,2015,49125,Blue,Unknown,0,2,16995
BMW,3 Series,2021,7800,Gray,Beige,0,1,30999
BMW,3 Series,2015,117179,Black,Black,0,4,7695
Nissan,Maxima,2018,43047,Red,Beige,0,2,21998
Mercedes-Benz,GLB,2023,5723,Black,Black,0,1,41151
Audi,Q5,2022,10969,Silver,Gray,0,1,36993
Toyota,RAV4,2021,44447,Gray,Black,0,1,25795
Dodge,Charger,2019,129303,White,Black,0,2,13999
Mercedes-Benz,C-Class,2020,19543,Silver,Beige,0,1,26889
Mercedes-Benz,GLE,2017,52826,Black,Black,1,3,23499
BMW,4 Series,2021,48855,White,Red,0,1,40497
Mazda,Mazda6,2016,86686,White,Black,2,2,16998
Subaru,Crosstrek,2021,41707,Silver,Black,0,1,24991
Mercedes-Benz,GLC,2021,28374,White,Black,0,1,29933
Subaru,Forester,2017,62567,Gray,Gray,1,2,17889
Nissan,Frontier,2022,12232,White,Black,0,1,26988
Toyota,Prius,2013,131525,White,Gray,1,2,10895
Ford,Econoline Cargo Van,2011,152825,White,Unknown,0,2,9998
Jeep,Wrangler,2022,16700,Black,Black,0,2,38444
Honda,Civic,2012,124873,Gray,Gray,1,4,8995
Jaguar,E-PACE,2020,22112,Gray,Unknown,0,1,26666
BMW,X5,2020,27051,Gray,Black,0,2,37498
Audi,A5,2023,6091,Black,Black,0,1,36462
Honda,Accord,2020,35882,Gray,Black,1,1,25498
Subaru,Outback,2023,8474,White,Gray,0,1,34600
Volvo,XC90,2021,28560,Gray,Black,0,1,38994
BMW,X5,2022,17842,Black,Black,0,1,43988
Jeep,Wrangler,2022,17313,Black,Black,0,1,39566
BMW,X5,2013,103297,Silver,Black,0,1,11995
Honda,Civic,2020,46571,Red,Black,0,2,17495
FIAT,124 Spider,2017,48992,Gray,Black,0,2,16200
Dodge,Charger,2018,105394,White,Black,0,2,18998
Acura,RDX,2020,41508,Black,Black,0,1,24689
Kia,K5,2022,49207,Red,Black,0,1,18998
Audi,A3,2023,2235,Black,Black,0,1,33995
Mercedes-Benz,E-Class,2020,38110,Silver,Black,0,3,32595
Toyota,Corolla,2021,53960,White,Unknown,0,1,21350
Subaru,Impreza,2015,80234,Blue,Black,0,2,14998
Toyota,Corolla Cross,2022,7033,White,Black,0,1,28333
Honda,Accord,2022,31454,White,Black,0,1,24987
Lincoln,Nautilus,2021,7425,Tan,Beige,0,1,36995
Honda,Accord,2021,68744,White,Black,0,1,24493
Ford,F-150,2022,7383,Gray,Black,0,1,41563
Land,Rover Range Rover Evoque,2014,81607,Black,Black,0,2,14995
Volkswagen,Atlas,2019,28165,Silver,Black,0,1,27998
Land,Rover Range Rover,2017,51250,Gray,Black,0,1,40000
Chevrolet,Malibu,2022,43257,Silver,Black,0,1,17400
Toyota,RAV4,2021,61589,Black,Unknown,0,1,26685
Chevrolet,Corvette,2014,42423,Black,Black,0,1,41998
Acura,MDX,2017,113292,White,Black,0,1,19998
Toyota,RAV4,2021,62935,Black,Black,1,1,22998
Audi,A3,2023,2110,White,Beige,0,1,32995
BMW,3 Series,2016,75635,White,Black,0,1,16998
Honda,Civic,2017,26208,Gray,Black,0,1,23998
Hyundai,Sonata,2019,38199,Black,Black,1,1,18998
Volkswagen,Tiguan,2015,71416,Tan,Black,0,3,15998
Honda,Civic,2022,28188,White,Black,0,1,26998
Chevrolet,Equinox,2020,47370,Black,Gray,0,3,19998
Honda,Fit,2015,84457,Red,Black,1,2,14998
Toyota,4Runner,2019,45870,Black,Black,1,1,29998
Hyundai,Elantra,2020,41417,White,Black,0,1,18998
Honda,Civic,2017,23045,Black,Black,2,1,22998
BMW,M6,2014,43936,Black,Black,0,2,36998
Jeep,Gladiator,2022,32956,Gray,Black,0,1,35998
Mercedes-Benz,C-Class,2023,9779,Gray,Black,0,1,40777
Kia,Forte,2021,26203,Black,Black,0,1,16995
Honda,Civic,2012,126639,Black,Gray,0,2,8995
Honda,Odyssey,2020,22045,Silver,Gray,0,1,32781
Dodge,Challenger,2012,112067,Black,Gray,0,2,16750
Mercedes-Benz,GLC,2021,11858,White,Beige,0,1,31933
BMW,M5,2007,119568,Silver,Gray,1,5,16400
Honda,Pilot,2021,30283,Black,Black,1,1,31187
Toyota,Tacoma,2022,18137,White,Gray,0,1,33520
Audi,Q5,2020,24359,Gray,Black,1,1,30855
Mercedes-Benz,C-Class,2019,46446,Blue,Beige,0,2,22000
Audi,Q3,2020,24398,Blue,Brown,0,1,25725
BMW,3 Series,2013,56891,Gold,Black,0,1,17998
Mercedes-Benz,E-Class,2020,22338,Gray,Black,1,1,43014
Kia,Sedona,2016,122368,Silver,Gray,0,1,13998
Toyota,Corolla,2021,66531,Red,Black,0,1,18694
Subaru,Crosstrek,2021,34129,Black,Black,0,1,24499
Mercedes-Benz,GLC,2019,33933,Black,Black,0,2,26888
Mercedes-Benz,GLC,2020,37045,Black,Unknown,0,1,26988
Mazda,CX-5,2021,62203,Silver,Black,0,1,21888
Jeep,Wrangler,2012,42222,Black,Black,1,1,21677
Audi,A5,2023,2077,Black,Black,0,1,37998
Toyota,Camry,2015,84982,White,Black,0,1,16998
Land,Rover Range Rover Evoque,2012,95743,White,White,0,2,13995
Toyota,RAV4,2017,96286,Black,Black,0,2,16888
Ford,F-150,2021,62048,Silver,Black,1,1,40678
Chevrolet,Equinox,2018,46513,Silver,Black,3,1,14987
Toyota,Tacoma,2020,28772,Black,Gray,0,1,34998
Chevrolet,Malibu,2022,36428,White,Gray,0,1,18998
Toyota,Highlander,2020,18999,Gray,Gray,1,1,33998
Toyota,Camry,2019,37498,White,Black,2,1,23998
Hyundai,Santa Fe,2020,34444,Blue,Black,0,1,25998
Volkswagen,Atlas,2021,57902,Black,Black,1,1,29998
Dodge,Grand Caravan,2019,54821,White,Black,0,2,20998
Lexus,NX,2021,65710,Silver,Black,0,1,23991
Toyota,Tacoma,2021,22721,Gray,Gray,2,1,31000
Land,Rover Range Rover,2007,108459,White,White,0,4,9995
Toyota,Corolla,2021,63321,White,Gray,1,1,18794
Toyota,Corolla,2022,17868,Black,Black,0,1,20299
Mercedes-Benz,GLA,2022,6097,White,Beige,0,1,32666
Toyota,Corolla,2022,33868,White,Black,0,1,17593
Ford,Escape,2022,36066,Gray,Gray,0,1,20799
Audi,Q5,2022,11651,Gray,Gray,0,2,33497
Kia,Forte,2020,96157,Gray,Black,0,3,10995
BMW,X5,2012,101835,Silver,Black,0,2,10400
Chevrolet,Camaro,2022,9952,Unknown,Unknown,0,1,30195
Toyota,Camry,2020,25298,White,Red,0,1,29999
Kia,Optima,2019,55465,Silver,Black,2,4,17998
INFINITI,Q50,2020,27926,Black,Gray,0,1,28400
Ford,Escape,2020,36158,Gray,Gray,0,1,16988
Subaru,Outback,2024,5699,Silver,Gray,0,1,34800
Toyota,Tacoma,2013,111951,Black,Gray,2,1,22250
Volvo,XC90,2020,55536,White,Beige,0,1,43163
Nissan,Titan,2017,50920,Black,Black,0,1,30998
Toyota,RAV4,2019,16985,Silver,Gray,0,1,28599
Mercedes-Benz,A-Class,2020,65629,White,Black,1,1,20555
Toyota,Prius,2015,94528,Gray,Gray,1,1,16998
Chevrolet,Volt,2017,110560,White,Black,1,1,10986
Toyota,Highlander,2021,57404,Blue,Red,0,1,32555
Subaru,Forester,2021,43610,Blue,Gray,0,1,25099
Ford,F-150,2021,44974,White,Gray,0,1,35998
Ford,F-150,2019,44978,Black,Black,0,1,30795
Nissan,Versa,2022,54626,Black,Black,0,1,13950
Subaru,Forester,2021,17357,Black,Brown,0,1,28299
Toyota,RAV4,2021,34135,Black,Gray,0,1,25727
Subaru,Outback,2022,25164,Gray,Gray,0,1,29474
Chrysler,200,2015,110746,Black,Black,0,3,9495
Land,Rover Range Rover Sport,2014,74390,Silver,Black,2,3,25995
Ford,Explorer,2021,42808,White,Black,0,1,36500
Volkswagen,Jetta,2016,121571,Gray,Black,1,3,7885
Subaru,Ascent,2022,12435,Silver,Gray,0,1,34449
Chevrolet,Tahoe,2016,95699,Silver,Black,0,2,23887
Jeep,Wrangler,2014,76436,White,Black,2,1,21499
Mercedes-Benz,GLA,2021,26991,White,Black,1,1,29649
Audi,Q3,2018,21714,White,Black,0,1,21499
Mercedes-Benz,CLA,2014,58783,White,Black,0,1,16999
Mercedes-Benz,C-Class,2020,37120,Silver,Black,0,2,28222
Toyota,Corolla,2020,29126,White,Black,1,2,19497
Chevrolet,Silverado 1500,2021,104561,White,Black,1,3,31998
Audi,A3,2023,1193,Black,Black,0,1,32995
Kia,Soul,2015,74267,Gray,Black,2,3,8476
BMW,X1,2015,115152,Black,Brown,1,2,11495
Lexus,RX,2018,50215,White,Gray,1,1,27986
Ford,Explorer,2021,9876,White,Gray,0,1,31486
Kia,K5,2022,41939,White,Black,0,1,22500
Kia,K5,2021,56108,Black,Black,0,1,17988
Jeep,Compass,2021,42815,White,Black,0,1,19759
Subaru,Impreza,2020,28266,White,Black,0,1,21620
Jeep,Wrangler,2018,50118,Gray,Black,0,1,24515
Mercedes-Benz,A-Class,2019,27297,Silver,Black,1,1,22588
Dodge,Challenger,2015,26780,Black,Black,1,2,46988
Jeep,Grand Cherokee,2020,43868,White,Black,0,1,25000
Lexus,ES,2021,12283,Green,Black,0,1,34000
Mercedes-Benz,GLC,2021,25690,White,Beige,0,1,32904
Kia,Forte,2021,15084,Black,Black,0,1,17995
Ford,Explorer,2021,17691,Black,Black,0,1,31998
Subaru,Ascent,2021,23805,White,Beige,0,1,30000
Subaru,Outback,2024,6202,White,Beige,0,1,34800
Aston,Martin DB9,2008,20938,Black,Black,0,4,40900
Hyundai,Santa Fe,2023,32148,White,Black,0,1,21800
Ford,Econoline Cargo Van,2013,307292,White,Gray,2,1,8995
Jeep,Cherokee,2018,60305,Black,Black,1,2,15888
Toyota,Camry,2020,39362,Black,Black,0,1,21222
Volkswagen,Jetta,2017,114015,Black,Black,2,2,11495
Mercedes-Benz,A-Class,2020,28125,Black,Black,0,2,25631
Mercedes-Benz,A-Class,2019,34366,Black,Black,1,3,21987
Mercedes-Benz,C-Class,2017,56536,White,Beige,0,2,18995
BMW,X3,2022,6316,Black,Brown,0,1,36499
Mercedes-Benz,GLB,2023,7439,White,Beige,0,2,39880
BMW,X3,2021,59945,White,Black,0,1,25998
Toyota,Tacoma,2017,62689,Silver,Gray,2,1,29333
Toyota,Tacoma,2019,117204,White,Gray,1,1,19999
Mercedes-Benz,C-Class,2023,7499,Black,Black,0,1,39777
Chevrolet,Malibu,2022,16331,Gray,Black,0,1,19991
Subaru,Legacy,2023,5293,White,Gray,0,1,23999
Mercedes-Benz,M-Class,2012,130708,White,Gray,0,2,8991
Honda,Civic,2018,72905,White,Beige,0,3,14500
Hyundai,Sonata,2013,85653,Gray,Gray,0,2,8995
Chrysler,300,2021,61474,White,Black,0,1,22621
Land,Rover Range Rover,2014,61910,White,Black,0,3,26999
Volkswagen,Atlas,2019,36108,Blue,Black,0,1,23987
Audi,Q5,2020,15503,Black,Black,0,1,29999
Chevrolet,Trailblazer,2021,40743,Black,Black,0,1,19888
Ford,Fusion,2020,42121,Black,Black,0,1,16308
Kia,Soul,2018,52817,Gray,Black,0,3,11995
Kia,Forte,2023,12459,Gray,Black,0,1,19991
Mercedes-Benz,GLA,2021,32130,Gray,Black,0,1,29419
Acura,MDX,2020,17913,Black,Black,0,1,31498
Honda,Civic,2015,116519,Silver,Gray,1,4,9499
Mercedes-Benz,SLK,2012,66614,Black,Black,0,2,17999
Chevrolet,Malibu,2017,96583,White,Black,1,2,11999
Dodge,Grand Caravan,2017,124407,Black,Black,0,2,8995
Mercedes-Benz,SL,2000,86513,White,Beige,1,3,8995
Cadillac,CTS,2004,175440,White,Beige,3,4,4966
Dodge,Journey,2018,73637,Black,Black,0,1,10999
Honda,CR-V,2019,27490,Gray,Black,0,1,24063
Honda,CR-V,2021,51693,Black,Gray,0,1,24300
Subaru,Outback,2023,5011,White,Gray,0,1,35300
Toyota,Camry,2020,40875,Black,Unknown,0,2,21488
Mercedes-Benz,C-Class,2021,21123,Gray,Black,1,1,28998
Volkswagen,Jetta,2013,79328,White,Unknown,1,4,13599
Jeep,Grand Cherokee,2018,63600,Black,Black,0,2,25998
Toyota,Corolla,2021,64006,White,Gray,0,1,18985
Hyundai,Sonata,2016,89315,Silver,Gray,1,2,13998
Honda,CR-V,2018,54900,Gray,Black,0,1,22998
Toyota,RAV4,2013,61283,Blue,Gray,2,3,19998
Honda,CR-V,2020,35038,Gray,Black,0,1,27906
Cadillac,Escalade,2015,106871,Black,Brown,1,4,26599
Toyota,Corolla,2015,124202,White,Gray,1,3,9991
BMW,X5,2021,25347,Blue,Black,0,1,42999
Dodge,Charger,2013,119000,Black,Black,1,5,8988
Ford,Bronco Sport,2021,57497,Red,Black,1,1,25998
Toyota,RAV4,2021,41484,Red,Brown,0,1,36998
Toyota,Corolla,2022,18666,Black,Black,0,1,20943
Chevrolet,Tahoe,2011,105208,Black,Black,4,3,15995
Toyota,RAV4,2021,21406,White,Black,0,1,26675
Chevrolet,Silverado 1500,2021,59728,Gray,Black,0,1,35995
Kia,Soul,2021,94094,Silver,Black,0,1,13495
Toyota,Camry,2020,93239,Silver,Black,1,1,18218
Toyota,Prius Prime,2021,32835,Gray,Black,0,1,26498
Ford,Transit Passenger Wagon,2019,73340,White,Black,0,2,36997
Ford,Expedition,2020,88416,Silver,Black,0,3,33998
Chevrolet,Silverado 1500,2022,17657,White,Black,0,1,25998
Toyota,RAV4,2022,30244,White,Black,0,1,24499
Toyota,Corolla,2019,103363,Red,Black,0,1,12999
Honda,Civic,2018,40171,Gray,Gray,1,1,17495
Subaru,Forester,2021,24736,Silver,Black,0,1,22679
Mercedes-Benz,GLE,2020,80559,Silver,Black,0,1,31888
Land,Rover Range Rover Sport,2014,94800,Black,Unknown,2,2,21995
Toyota,Corolla,2018,116630,White,Black,1,2,12999
Audi,A3,2018,78782,Gray,Black,1,1,15898
Honda,HR-V,2021,18696,Silver,Gray,0,1,23598
Toyota,Corolla,2021,69530,Silver,Black,0,1,17993
Mercedes-Benz,Metris Cargo Van,2020,45405,Blue,Black,1,2,26995
BMW,X5,2021,22220,Black,Black,0,1,42997
Cadillac,XT5,2019,45232,White,Beige,0,1,20094
Toyota,Camry,2020,23599,Gray,Black,0,1,20555
Subaru,Crosstrek,2021,33559,Gray,Gray,1,1,25988
Audi,Q3,2020,25933,Black,Gray,0,1,29998
Nissan,Versa,2021,64534,Silver,Gray,0,1,15681
Kia,K5,2022,40330,Silver,Black,0,1,18000
Honda,HR-V,2022,11770,Silver,Gray,0,1,22222
Toyota,Tacoma,2021,38015,White,Gray,1,2,31400
MINI,Clubman,2023,2081,White,Black,0,1,31995
Audi,Q5,2020,22534,Gray,Black,0,1,31888
BMW,5 Series,2017,60340,Gray,Unknown,0,1,23998
Ford,Mustang,2017,90843,Black,Black,0,3,18998
Audi,A7,2016,42396,White,Black,0,3,28998
Audi,A3,2023,3573,Black,Black,0,1,32995
Toyota,Prius,2006,193000,Blue,Beige,2,2,5991
Acura,ILX,2020,29094,Gray,Black,1,1,20998
Subaru,Forester,2015,13366,White,Gray,0,1,18100
Kia,K5,2021,37982,White,Black,0,1,22000
Honda,CR-Z,2015,75078,Blue,Black,0,4,16998
Honda,Odyssey,2014,77259,Gray,Gray,0,1,21998
Toyota,Prius,2012,103487,Silver,Gray,0,2,10999
Kia,Forte,2017,52456,Black,Black,0,2,12495
Porsche,Macan,2018,38205,Black,Black,0,4,32295
BMW,4 Series,2021,17815,Blue,Black,0,1,43496
Mercedes-Benz,C-Class,2021,30521,Silver,Gray,0,1,30560
Chevrolet,Tahoe,2017,39702,White,Black,0,1,34998
Nissan,Altima,2021,61705,Black,Black,0,1,17888
BMW,X3,2021,10245,White,Black,0,1,43999
BMW,X5,2020,43907,Gray,Brown,0,1,33994
Honda,Civic,2017,78540,White,Black,0,3,19998
Porsche,911,2002,58556,Silver,Black,0,3,26996
Chevrolet,Malibu,2020,46172,Black,Black,0,1,16998
Ford,Ranger,2019,77267,Silver,Black,0,1,19876
Honda,Civic,2013,37843,White,Unknown,0,1,17998
GMC,Yukon,2016,99882,Silver,Black,0,1,21999
Mercedes-Benz,E-Class,2015,94434,Silver,Black,0,2,17495
Volkswagen,Tiguan,2021,41030,Gray,Black,0,1,18999
Mercedes-Benz,GLC,2021,25030,Gray,Black,1,1,29933
Ford,Escape,2021,13758,Gray,Gray,0,1,21995
Toyota,Corolla Hatchback,2022,12909,Black,Black,0,1,22879
Chevrolet,Malibu,2022,32265,Silver,Black,0,1,19998
BMW,3 Series,2020,61362,Black,Beige,0,1,22200
Jeep,Grand Cherokee WK,2021,61058,White,Black,1,1,24998
Audi,A3,2023,1008,Black,Black,0,1,32995
BMW,3 Series,2011,110377,White,Beige,1,2,6998
Subaru,Crosstrek,2020,43420,Black,Black,1,1,24499
Kia,Forte,2021,27187,White,Black,0,1,19995
Jeep,Grand Cherokee,2015,94863,White,Black,0,2,20998
Ford,F-150,2020,63997,Black,Black,0,1,31996
BMW,X5,2012,88752,White,Black,0,2,14995
Kia,K5,2021,33705,Black,Black,0,1,22300
Honda,Civic,2019,64566,Black,Black,1,2,17084
BMW,5 Series,2014,122649,Black,Black,1,3,11995
Mercedes-Benz,GLA,2021,35810,White,Black,0,1,29701
Audi,A8,2013,51583,White,Black,1,2,17499
Toyota,Corolla,2021,29919,Black,Black,0,1,20995
Subaru,Crosstrek,2021,34409,White,Black,0,1,25100
Honda,Accord,2016,96250,Black,Black,1,1,18998
Chevrolet,Silverado 1500,2013,70971,Black,Black,0,4,24998
Honda,Accord,2017,38252,Black,Black,0,2,22998
Mercedes-Benz,CLS,2014,21037,Blue,Unknown,0,3,30998
Honda,Odyssey,2015,125578,Gray,Gray,0,2,16998
Audi,A4,2015,53259,Blue,Black,0,3,17998
Ford,Edge,2022,43221,Black,Black,0,1,26995
BMW,X3,2021,20466,Black,Black,0,1,30763
Dodge,Charger,2020,60196,White,Black,0,1,19670
BMW,X3,2021,21749,White,Beige,0,1,30999
Mercedes-Benz,C-Class,2023,4741,White,Beige,0,1,44764
Ford,Escape,2016,111113,Gray,Gray,0,2,9995
Mercedes-Benz,GLS,2020,69631,White,Black,0,1,44992
Kia,Optima,2019,20602,White,Black,0,1,19999
BMW,3 Series,2016,101891,Black,Beige,0,2,11995
Ford,F-150,2021,37193,Black,Gray,1,2,34998
Toyota,Camry,2016,117456,Silver,Unknown,0,1,12995
Toyota,Corolla,2021,37728,Black,Black,0,1,20650
Ford,Explorer,2021,20357,Silver,Unknown,0,1,31998
BMW,X3,2021,9620,White,Black,0,1,43988
Land,Rover Range Rover Sport,2020,48726,Black,Unknown,0,2,44603
Toyota,Camry,2016,106742,Black,Black,0,2,13778
Kia,Optima,2013,106382,White,Beige,2,2,8995
Ford,Transit Cargo Van,2020,128682,White,Gray,1,1,21995
Hyundai,Accent,2013,106238,Brown,Beige,1,3,10998
Mercedes-Benz,C-Class,2017,39640,Black,Beige,2,2,18995
Kia,Soul,2021,62355,Gray,Black,0,1,14955
Toyota,Corolla,2021,21135,Gray,Gray,0,1,20998
Subaru,Crosstrek,2024,1301,White,Black,0,1,26741
Toyota,Camry,2020,45702,Black,Black,0,1,21986
Kia,Forte,2020,60231,Black,Black,0,2,13900
Land,Rover Range Rover Sport,2017,82088,Black,Unknown,1,2,26995
Toyota,RAV4,2021,92984,Gray,Black,0,1,29200
Toyota,Corolla,2017,78733,White,Black,1,1,13991
Kia,Forte,2021,22450,White,Black,2,1,17998
Subaru,BRZ,2022,21000,Red,Black,0,2,28998
Subaru,Crosstrek,2022,39427,White,Gray,0,1,23300
Subaru,WRX,2016,43959,Blue,Black,0,1,21998
Subaru,Crosstrek,2018,71542,Blue,Gray,0,3,21998
Volkswagen,Jetta,2019,32759,Gray,Black,1,2,16765
Chevrolet,Malibu,2017,79894,Gray,Gray,1,2,13990
Honda,Accord,2019,40673,Gray,Gray,1,1,17991
BMW,X5,2019,19417,White,Black,0,1,43998
Maserati,Levante,2019,22529,Black,Black,2,1,32000
Lexus,GX,2022,18377,Blue,Gray,0,1,47996
Honda,CR-V,2023,1007,Unknown,Black,0,1,33498
Toyota,Highlander,2021,40088,Gray,Gray,0,1,39486
Mercedes-Benz,C-Class,2023,6315,White,Black,0,1,44868
Nissan,Armada,2021,63487,Silver,Black,0,1,25684
Honda,Civic,2023,9562,Red,Black,0,1,25639
Toyota,Tacoma,2022,8097,Silver,Black,0,1,39991
Nissan,Sentra,2021,23023,Red,Beige,0,1,18278
Ford,Fusion,2018,62354,White,Unknown,1,2,10800
Lexus,NX,2020,39255,White,Red,0,1,30998
GMC,Sierra 1500,2017,79434,Gray,Black,0,1,26987
Chevrolet,Silverado 2500,2004,47395,Black,Black,0,2,19500
Ford,Focus,2016,83009,Gray,Black,1,2,17998
Subaru,Outback,2023,7345,White,Gray,0,1,34900
Toyota,RAV4 Prime,2021,37418,Silver,Black,0,1,37991
Alfa,Romeo Stelvio,2022,25,Black,Black,0,1,34751
BMW,X3,2021,24706,Blue,Black,0,1,28999
Honda,CR-V,2012,91988,Black,Gray,0,1,12495
Jeep,Wrangler,2018,33724,White,Black,0,3,31998
Subaru,Ascent,2022,25721,Gray,Gray,0,1,34984
Toyota,Camry,2023,19660,Gray,Black,0,1,23935
Toyota,Highlander,2021,34955,White,Gray,0,1,33994
Ford,Explorer,2016,72635,Silver,Beige,0,1,18998
BMW,6 Series,2016,83633,Black,Black,1,2,22750
Subaru,Outback,2023,5618,White,Gray,0,1,37500
Toyota,Corolla,2021,74064,Red,Black,1,1,17994
Nissan,Rogue,2021,10868,Red,Black,0,1,23991
Volvo,V60,2020,45016,Gray,Black,0,1,32598
Mercedes-Benz,GLA,2021,21352,Black,Unknown,0,3,29995
Mercedes-Benz,A-Class,2021,7228,Black,Black,0,1,29046
Cadillac,CTS,2016,97626,White,Beige,1,3,14900
Honda,Accord,2021,43043,Gray,Black,0,1,25981
Mercedes-Benz,GLE,2017,60253,Unknown,Unknown,0,1,38595
Mercedes-Benz,GL,2011,88997,Black,Black,0,3,10988
Mercedes-Benz,CLA,2019,54727,Black,Black,0,2,19999
Ford,Transit Cargo Van,2021,26852,White,Black,0,1,32998
Mercedes-Benz,CLA,2023,7023,White,Black,0,1,37777
Ford,F-150,2021,49171,White,Gray,0,1,29998
Audi,A3,2020,35165,White,Black,1,1,24998
Ford,Fusion,2020,41553,Black,Black,0,1,19995
Lexus,LS,2014,173788,Black,Black,0,1,17995
BMW,5 Series,2016,73181,Silver,Beige,0,3,14999
Kia,Forte,2022,31031,White,Black,0,1,18500
Subaru,Forester,2022,4681,Red,Gray,0,1,28948
Toyota,4Runner,2021,14683,Black,Brown,0,1,44998
Toyota,Camry,2017,36663,Silver,Unknown,3,1,19998
Toyota,Tacoma,2023,21953,Silver,Black,0,1,36998
BMW,X5,2020,50716,White,Black,1,1,35998
Subaru,Outback,2020,25038,Gray,Gray,0,1,28998
Chevrolet,Trailblazer,2022,47162,White,Black,0,2,23998
Hyundai,Sonata,2015,96880,Silver,Gray,1,1,13998
Nissan,Altima,2019,88155,White,Black,0,3,14450
Toyota,Corolla,2021,7500,Red,Black,0,1,21222
